record_id,source,doi,pmid,year,venue,title,reviewer_decision,reviewer_reason_code,reviewer_notes,leakage_note,author_protocol_claim_seen,protocol_red_flag,protocol_red_flag_type,protocol_red_flag_note
SCR-0631,Scopus,10.18178/ijmlc.2017.7.4.625,,2017,International Journal of Machine Learn,Passive EEG-based emotional state cognition using subject-independent feature extraction,include-candidate,include,EEG cross-subject emotion (journal),,,,,
SCR-0632,Scopus,10.18502/fbt.v10i1.11512,,2023,Frontiers in Biomedical Technologies,Emotion Recognition Using Continuous Wavelet Transform and Ensemble of Convolutional Neural Net,include-candidate,include,EEG cross-subject emotion (journal),CWT + ensemble CNN; 10-fold CV on DEAP scalograms (no subject split),not stated (10-fold CV),unclear,subject-mixed-kfold,10-fold CV on DEAP scalogram images with no subject-level split; likely subject/trial-mixed
SCR-0633,Scopus,10.22266/ijies2024.0229.71,,2024,International Journal of Intelligent E,EEG-Based Emotion Classification: A Biologically Informed Channel Selection Approach,include-candidate,include,EEG cross-subject emotion (journal),,,,,
SCR-0634,WoS/Scopus,10.2298/csis250215053w,,2025,COMPUTER SCIENCE AND INFORMATION SYSTE,A spatio-temporal Graph Neural Network for EEG Emotion Recognition Based on Regional and Global,include-candidate,include,EEG cross-subject emotion (journal),,,,,
SCR-0635,WoS/Scopus,10.24425/mms.2022.140030,,2022,METROLOGY AND MEASUREMENT SYSTEMS,TRANSITION OF EMOTIONS FROM THE NEGATIVELY EXCITED STATE TO POSITIVE UNEXCITED STATE: AN ERP PE,unclear-needs-fulltext,unclear-needs-fulltext,ERP emotion-transition; recognition metric unclear,,,,,
SCR-0636,WoS/Scopus/PubMed,10.31083/j.jin2301018,,2024,JOURNAL OF INTEGRATIVE NEUROSCIENCE,Fusion of Multi-domain EEG Signatures Improves Emotion Recognition,include-candidate,include,EEG cross-subject emotion (journal),multi-domain feature fusion + SVM; LOSO (explicitly avoids segment-mixing leakage),cross-subject; LOSO,no,,leakage-aware
SCR-0637,WoS/Scopus/PubMed,10.31083/jin41547,,2025,JOURNAL OF INTEGRATIVE NEUROSCIENCE,EEG-ERnet: Emotion Recognition based on Rhythmic EEG Convolutional Neural Network Model,include-candidate,include,EEG cross-subject emotion (journal),,,,,
SCR-0638,WoS/Scopus/PubMed,10.31083/jin44121,,2025,JOURNAL OF INTEGRATIVE NEUROSCIENCE,A Multi-Teacher Distilling Framework With Data Privacy for EEG Emotion Recognition,include-candidate,include,EEG cross-subject emotion (journal),multi-teacher KD; data privacy; subject-independent,subject-independent,no,,
SCR-0639,WoS/PubMed,10.3233/thc-174739,,2018,TECHNOLOGY AND HEALTH CARE,Multi-subject subspace alignment for non-stationary EEG-based emotion recognition,include-candidate,include,EEG cross-subject emotion (journal),multi-subject subspace alignment; source-target; cross-subject; SVM,cross-subject; DA (subspace),no,,
SCR-0640,WoS/Scopus,10.32598/bcn.2021.3133.1,,2023,BASIC AND CLINICAL NEUROSCIENCE,A Hybrid EEG-based Emotion Recognition Approach Using Wavelet Convolutional Neural Networks and,include-candidate,include,EEG cross-subject emotion (journal),,,,,
SCR-0641,WoS/Scopus,10.32604/cmc.2025.066702,,2025,CMC-COMPUTERS MATERIALS \& CONTINUA,EEG Scalogram Analysis in Emotion Recognition: A Swin Transformer and TCN-Based Approach,include-candidate,include,EEG cross-subject emotion (journal),,,,,
SCR-0642,WoS/Scopus,10.3389/fnbot.2017.00019,,2017,FRONTIERS IN NEUROROBOTICS,Cross-Subject EEG Feature Selection for Emotion Recognition Using Transfer Recursive Feature El,include-candidate,include,EEG cross-subject emotion (journal),,,,,
SCR-0643,WoS/Scopus,10.3389/fnbot.2024.1481746,,2025,FRONTIERS IN NEUROROBOTICS,Directional Spatial and Spectral Attention Network (DSSA Net) for EEG-based emotion recognition,include-candidate,include,EEG cross-subject emotion (journal),directional spatial-spectral attention; SD + SI (LOSO); SEED/SEED-IV/DEAP; SI SEED 87%,subject-dependent + subject-independent (LOSO),no,,SEED SI 87% high-end but LOSO stated
SCR-0644,WoS/Scopus,10.3389/fncom.2019.00053,,2019,FRONTIERS IN COMPUTATIONAL NEUROSCIENC,Multi-method Fusion of Cross-Subject Emotion Recognition Based on High-Dimensional EEG Features,include-candidate,include,EEG cross-subject emotion (journal),,,,,
SCR-0645,WoS/Scopus,10.3389/fncom.2021.741086,,2022,FRONTIERS IN COMPUTATIONAL NEUROSCIENC,Emotion Recognition Based on Dynamic Energy Features Using a Bi-LSTM Network,include-candidate,include,EEG cross-subject emotion (journal),dynamic energy Bi-LSTM; LOSO + 10-fold CV (both reported); SEED/DEAP,LOSO + 10-fold,no,,10-fold arm subject-mixed but reported alongside LOSO
SCR-0646,WoS/Scopus,10.3389/fncom.2022.909553,,2022,FRONTIERS IN COMPUTATIONAL NEUROSCIENC,A P300-Detection Method Based on Logistic Regression and a Convolutional Neural Network,exclude,off-topic,off-topic: P300 detection,,,,,
SCR-0647,WoS/Scopus,10.3389/fncom.2024.1416494,,2024,FRONTIERS IN COMPUTATIONAL NEUROSCIENC,EEG-based emotion recognition using graph convolutional neural network with dual attention mech,include-candidate,include,EEG cross-subject emotion (journal),DAMGCN dual attention; SD (ten-fold + leave-one-trial-out; 99.42%) + SI; SEED/SEED-IV,subject-dependent + subject-independent,no,,SD 99.42% near-ceiling but labelled SD (leave-one-trial-out)
SCR-0648,WoS/Scopus,10.3389/fncom.2025.1589247,,2025,FRONTIERS IN COMPUTATIONAL NEUROSCIENC,CNN-BiLSTM and DC-IGN fusion model and piecewise exponential attenuation optimization: an innov,include-candidate,include,EEG cross-subject emotion (journal),CNN-BiLSTM + DC-IGN; stratified subject-independent 5-fold (mutually exclusive subjects); leakage-aware,subject-independent; subject-disjoint 5-fold,no,,leakage-aware (subject-disjoint folds)
SCR-0649,WoS/Scopus,10.3389/fnhum.2017.00334,,2017,FRONTIERS IN HUMAN NEUROSCIENCE,Improving EEG-Based Emotion Classification Using Conditional Transfer Learning,include-candidate,include,EEG cross-subject emotion (journal),conditional transfer learning; little target calibration; cross-subject,cross-subject; transfer (target calibration),no,,
