paper_id,citation_key,study_title,dataset,task,comparison_unit,target_access_arm,target_access_accuracy,no_target_arm,no_target_accuracy,difference_pp,dispersion_available,paired_covariance_available,eligibility,source_location,source_quote_or_note
EEG-0070,metaeeg0070,A convolution and attention-based conditional adversarial domain adaptation neural network for emotion recognition using electroencephalography,SEED,3-class accuracy,Session 1,CA2DANet,81.05,w/o domain adaptation,71.29,9.76,no,no,eligible descriptive contrast,"Table 7, published page 9; Methods, published page 6","Table 4 keeps the spectral-channel attention, spatial convolution, and temporal encoding modules present while removing domain adaptation; the LOSO protocol uses 14 subjects as source and the held-out subject as target."
EEG-0070,metaeeg0070,A convolution and attention-based conditional adversarial domain adaptation neural network for emotion recognition using electroencephalography,SEED,3-class accuracy,Session 2,CA2DANet,70.66,w/o domain adaptation,69.04,1.62,no,no,eligible descriptive contrast,"Table 7, published page 9; Methods, published page 6",Same ablation and LOSO comparison as Session 1.
EEG-0070,metaeeg0070,A convolution and attention-based conditional adversarial domain adaptation neural network for emotion recognition using electroencephalography,SEED,3-class accuracy,Session 3,CA2DANet,81.7,w/o domain adaptation,73.1,8.6,no,no,eligible descriptive contrast,"Table 7, published page 9; Methods, published page 6",Same ablation and LOSO comparison as Session 1.
EEG-0257,metaeeg0257,Deep Representation Learning With Assisted Domain Adaptation for EEG-Based Cross-Subject Emotion Recognition,SEED,3-class accuracy,Dataset task,ADARL,93.05,w/o DA,88.77,4.28,no,no,eligible descriptive contrast,"Table II, published page 1842; Section V-B",The paper states that experimental settings for all ablations were kept constant and that w/o DA removes the domain-adaptation component.
EEG-0257,metaeeg0257,Deep Representation Learning With Assisted Domain Adaptation for EEG-Based Cross-Subject Emotion Recognition,SEED-IV,4-class accuracy,Dataset task,ADARL,85.62,w/o DA,81.66,3.96,no,no,eligible descriptive contrast,"Table II, published page 1842; Section V-B",Same ablation design as the SEED comparison.
EEG-0257,metaeeg0257,Deep Representation Learning With Assisted Domain Adaptation for EEG-Based Cross-Subject Emotion Recognition,DEAP,Arousal binary accuracy,Dataset task,ADARL,70.22,w/o DA,62.44,7.78,no,no,eligible descriptive contrast,"Table II, published page 1842; Section V-B",Same ablation design as the SEED comparison.
EEG-0257,metaeeg0257,Deep Representation Learning With Assisted Domain Adaptation for EEG-Based Cross-Subject Emotion Recognition,DEAP,Valence binary accuracy,Dataset task,ADARL,69.14,w/o DA,61.33,7.81,no,no,eligible descriptive contrast,"Table II, published page 1842; Section V-B",Same ablation design as the SEED comparison.
